Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
ICR_Typical,ICR_T_PREP_022,MethodID_Preparation,"Sediment was extracted for non-purgeable organic carbon (NPOC) analysis and then extracts were prepared for FTICR-MS analysis. See NPOC methods for information about extraction. Briefly, 10 grams of sediment and 20 milliliters of Milli-Q water were added to a proteomic friendly falcon tube; put on a shaker at 375 revolutions_per_minute (rpms) for 2 hours; and centrifuged at 6000 relative centrifugal force (rcf) for 7 minutes. The extracted supernatant was filtered (0.2 micrometer Sterivex filter). Prior to analysis on the FTICR-MS; sample extracts were diluted as needed to achieve a standard NPOC concentration of 1.5 milligrams_C_per_liter and acidified to pH 2 using 1N HCl prior solid phase extraction (SPE).  If NPOC concentration of the sample extract was below 1.5 milligrams_C_per_liter then the sample extract was not diluted and about 15 milliliters of the undiluted sample extract were acidified and put through solid phase extraction (SPE).",N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_AN_022,MethodID_Analysis,"Samples were run on a 9 Tesla (9T) Bruker SolariX FTICR-MS. Ion accumulation time (IAT) is appended to file name for each sample's xml files; where for example ""p025"" indicates an IAT of 0.025 seconds. The Milli-Q blanks were run between the sediment and water samples.",9.4 Tesla (9.4T) Bruker SolariX FTICR-MS,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_DP_022,MethodID_DataProcessing,Unprocessed and processed data are provided to allow the user flexibility in data processing. Instructions and scripts to process the data using CoreMS are provided.  Processed data was processed with a signal to noise ratio of 7. We recommend blank subtraction when processing these data. The provided processed data is blank corrected. Any formula that was found in either of the two blanks was removed from the dataset.,N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_IN_023,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_ST_023,MethodID_Storage,Samples were stored at -20degC until anlaysis.,N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_PRES_023,MethodID_Preservation,Samples were filtered (0.2 micrometer Sterivex filter) and acidified with 30 microliters of 37% hydrochloric acid acid upon collection.,N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_PREP_023,MethodID_Preparation,"Prior to analysis on the FTICR-MS; water samples were diluted as needed to achieve a standard NPOC concentration of 1.5 milligrams_C_per_liter and acidified to pH 2 using 1N HCl prior solid phase extraction (SPE).  If NPOC concentration of the sample extract was below 1.5 milligrams_C_per_liter then the sample was not diluted and 30 milliliters of the undiluted sample were acidified and put through solid phase extraction (SPE) following protocols by Dittmar et al., 2009.",N/A,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_AN_023,MethodID_Analysis,"Samples were run on a 9 Tesla (9T) Bruker SolariX FTICR-MS. Ion accumulation time (IAT) is appended to file name for each sample's xml files; where for example ""p025"" indicates an IAT of 0.025 seconds. The Milli-Q blanks were run between the sediment and water samples.",9.4 Tesla (9.4T) Bruker SolariX FTICR-MS,University of Arizona – Malak Tfaily Lab
ICR_Typical,ICR_T_DP_023,MethodID_DataProcessing,Unprocessed and processed data are provided to allow the user flexibility in data processing. Instructions and scripts to process the data using CoreMS are provided.  Processed data was processed with a signal to noise ratio of 7. We recommend blank subtraction when processing these data. The provided processed data is blank corrected. Any formula that was found in either of the two blanks was removed from the dataset.,N/A,University of Arizona – Malak Tfaily Lab
ICR_Vial_Break_Method,VB_ICR_001,MethodID_Inspection,Vial broken. Transferred to new vial.,N/A,Pacific Northwest National Laboratory (PNNL)
ICR_Vial_Break_Method,VB_ICR_002,MethodID_Inspection,Vial broken. Sample Lost,N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Method_QA_QC,NPOC_CV_030,MethodID_DataProcessing,"Non-purgeable organic carbon coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
NPOC_Typical,NPOC_T_IN_015,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
NPOC_Typical,NPOC_T_ST_015,MethodID_Storage,"Sediments were stored at -20degC until extraction. Sediments were thawed overnight at 4degC. After extraction, samples were stored at 4 degC until analysis.",N/A,Pacific Northwest National Laboratory (PNNL) – Richland
NPOC_Typical,NPOC_T_PRES_015,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
NPOC_Typical,NPOC_T_PREP_015,MethodID_Preparation,10 grams of sediment and 20 milliliters of Milli-Q water were added to a proteomic friendly falcon tube; put on a shaker at 375 revolutions_per_minute (rpms) for 2 hours; and centrifuged at 6000 relative centrifugal force (rcf) for 7 minutes. The extracted supernatant was filtered (0.2 micrometer Sterivex filter).  Samples were diluted to reach 7 milliliters total volume for analysis.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
NPOC_Typical,NPOC_T_AN_015,MethodID_Analysis,Online acidification with 8 percent hydrochloric acid; sparge time for 1 minute and 30 seconds; 3 washes of the syringe; Injection volume: 50 microliters; Furnace temperature: 720 degC; potassium hydrogen phthalate standard with concentration ranges 0-30 milligrams_per_liter; standards made within 7 days of run and kept at 4 degC between runs; Best 3 of 5 injections; Accepted deviation up to 0.1 milligrams_per_liter or 2 percent coefficient of variation. Two process blanks were analyzed for NPOC and ICR. The sample preparation followed the same steps in the sediment extraction protocol utilizing MilliQ water. NPOC values for these samples were all below 0.81 milligrams per liter.,Shimadzu Total Organic Carbon L series (TOC-L) with a Total Nitrogen Measurement L series (TNM-L),Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_Typical,NPOC_T_DP_015,MethodID_DataProcessing,"Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The flags indicate the limits of detection where applicable. Samples were normalized to milligram per kilogram values using the dry mass of the sediment, extraction volume (20 milliters), and water mass in the sediment.",N/A,Pacific Northwest National Laboratory (PNNL) – Richland
NPOC_Typical,NPOC_T_IN_018,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_Typical,NPOC_T_ST_018,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to Pacific Northwest National Laboratory (PNNL) – Sequim/Richland Campus. Vials were placed under blue ice while in transit. At PNNL they were stored at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_Typical,NPOC_T_PRES_018,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept at 4 degC until analysis for no longer than 14 days.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_Typical,NPOC_T_PREP_018,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_Typical,NPOC_T_AN_018,MethodID_Analysis,Online acidification with 8 percent hydrochloric acid; sparge time for 2 minutes and 30 seconds; 3 washes of the syringe; Injection volume: 150 microliters; Furnace temperature: 720 degC; potassium hydrogen phthalate standard with concentration ranges of either 0-10 milligrams_per_liter or 0-30 milligrams_per_liter; standards made within 7 days of run and kept at 4 degC between runs; Best 3 of 5 injections; Accepted deviation up to 0.1 milligrams_per_liter or 2 percent coefficient of variation.,Shimadzu Total Organic Carbon L series (TOC-L) with a Total Nitrogen Measurement L series (TNM-L),Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_Typical,NPOC_T_DP_018,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
OCN_Vial_Break_Method,VB_OCN_001,MethodID_Inspection,Non-purgeable organic carbon (NPOC)/total nitrogen (TN) vial broke. Sample lost.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,NPOC_OUTLIER_000,MethodID_DataProcessing,Non-purgeable organic carbon coefficient of variation (CV) was higher than the set threshold. Replicate was removed from summary for being an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
OUTLIER_Method_QA_QC,TN_OUTLIER_000,MethodID_DataProcessing,Total nitrogen coefficient of variation (CV) between replicates was higher than the set threshold. Replicate was identified as an outlier because it was determined to have the highest distance to the other two replicates using distance based outlier detection. Replicate was removed from summary because it was identified as an outlier.,N/A,Pacific Northwest National Laboratory (PNNL)
SED_Vial_Inspection_Method,VI_SED_003,MethodID_Inspection,Sediment was not collected.,N/A,Pacific Northwest National Laboratory (PNNL)
TN_Method_QA_QC,TN_CV_030,MethodID_DataProcessing,"Total nitrogen coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
TN_Typical,TN_T_IN_013,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
TN_Typical,TN_T_ST_013,MethodID_Storage,"Sediments were stored at -20degC until extraction. Sediments were thawed overnight at 4degC. After extraction, samples were stored at 4 degC until analysis.",N/A,Pacific Northwest National Laboratory (PNNL) – Richland
TN_Typical,TN_T_PRES_013,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
TN_Typical,TN_T_PREP_013,MethodID_Preparation,10 grams of sediment and 20 milliliters of Milli-Q water were added to a proteomic friendly falcon tube; put on a shaker at 375 revolutions_per_minute (rpms) for 2 hours; and centrifuged at 6000 relative centrifugal force (rcf) for 7 minutes. The extracted supernatant was filtered (0.2 micrometer Sterivex filter).  Samples were diluted to reach 7 milliliters total volume for analysis.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
TN_Typical,TN_T_AN_013,MethodID_Analysis,Sparge time for 1 minute and 30 seconds; 3 washes of the syringe; Injection volume: 50 microliters; Furnace temperature: 720 degC; potassium nitrate standard with concentration ranges 0-3 milligrams_per_liter; standards made within 7 days of run and kept at 4 degC between runs; Best 3 of 5 injections; Accepted deviation up to 0.1 milligrams_per_liter or 2 percent coefficient of variation.,Shimadzu Total Organic Carbon L series (TOC-L) with a Total Nitrogen Measurement L series (TNM-L),Pacific Northwest National Laboratory (PNNL) – Richland
TN_Typical,TN_T_DP_013,MethodID_DataProcessing,"Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The flags indicate the limits of detection where applicable. Samples were normalized to milligram per kilogram values using the dry mass of the sediment, extraction volume (20 milliters), and water mass in the sediment.",N/A,Pacific Northwest National Laboratory (PNNL) – Richland
TN_Typical,TN_T_IN_016,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TN_Typical,TN_T_ST_016,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to Pacific Northwest National Laboratory (PNNL) – Sequim/Richland Campus. Vials were placed under blue ice while in transit. At PNNL – Sequim Campus they were stored at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TN_Typical,TN_T_PRES_016,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept at 4 degC until analysis for no longer than 14 days.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TN_Typical,TN_T_PREP_016,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
TN_Typical,TN_T_AN_016,MethodID_Analysis,Sparge time for 2 minutes and 30 seconds; 3 washes of the syringe; Injection volume: 150 microliters; Furnace temperature: 720 degC; potassium nitrate standard with concentration ranges 0-3 milligrams per liter; standards made within 7 days of run and kept at 4 degC between runs; Best 3 of 5 injections; Accepted deviation up to 0.1 milligrams per liter or 2 percent coefficient of variation.,Shimadzu Total Organic Carbon L series (TOC-L) with a Total Nitrogen Measurement L series (TNM-L),Pacific Northwest National Laboratory (PNNL) - Richland
TN_Typical,TN_T_DP_016,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
NPOC_RERUN,NPOC_TN_RERUN_008,MethodID_Analysis,Sample was rerun because one replicate had much higher carbon concentration than the other two replicates. This is the second time this sample has been run. Data is usable.,N/A,Pacific Northwest National Laboratory (PNNL)
